current_path,filename,provenance_classification,confidence,evidence_for_classification,collection_script,proposed_action
data/campaign_d_duel_results.json,campaign_d_duel_results.json,UNKNOWN,MEDIUM,,scripts/campaign_a_orchestrator.py,flag_for_manual_review
data/campaign_d_results.json,campaign_d_results.json,UNKNOWN,MEDIUM,,scripts/campaign_a_orchestrator.py,flag_for_manual_review
data/cluster_results.json,cluster_results.json,UNKNOWN,MEDIUM,,scripts/campaign_a_orchestrator.py,flag_for_manual_review
data/deploy_status.json,deploy_status.json,UNKNOWN,MEDIUM,,scripts/campaign_a_orchestrator.py,flag_for_manual_review
data/investigation_results.json,investigation_results.json,UNKNOWN,MEDIUM,,scripts/campaign_a_orchestrator.py,flag_for_manual_review
data/preflight_report.json,preflight_report.json,UNKNOWN,MEDIUM,,scripts/campaign_a_orchestrator.py,flag_for_manual_review
graypulse_final_assets_package/run_manifest.csv,run_manifest.csv,UNKNOWN,MEDIUM,,scripts/campaign_a_orchestrator.py,flag_for_manual_review
infrastructure/stats.txt,stats.txt,UNKNOWN,MEDIUM,,scripts/campaign_a_orchestrator.py,flag_for_manual_review
paper_extracted_text.txt,paper_extracted_text.txt,UNKNOWN,MEDIUM,,scripts/campaign_a_orchestrator.py,flag_for_manual_review
submit/Rest/FIGURE_MANIFEST.csv,FIGURE_MANIFEST.csv,UNKNOWN,MEDIUM,,scripts/campaign_a_orchestrator.py,flag_for_manual_review
submit_png_graypulse_verified/Rest/FIGURE_MANIFEST.csv,FIGURE_MANIFEST.csv,UNKNOWN,MEDIUM,,scripts/campaign_a_orchestrator.py,flag_for_manual_review
submit_png_only/Rest/FIGURE_MANIFEST.csv,FIGURE_MANIFEST.csv,UNKNOWN,MEDIUM,,scripts/campaign_a_orchestrator.py,flag_for_manual_review
archive/20260306_motivation_test/raw_requests.csv,raw_requests.csv,SYNTHETIC_PROTOTYPE,HIGH,Located in archive/ prototype directory with 1s coarse simulation logs.,archive/20260306_motivation_test/generate_midterm_plots.py,archive_to_synthetic_prototypes
archive/20260306_motivation_test/raw_requests_1s_resolution.csv,raw_requests_1s_resolution.csv,SYNTHETIC_PROTOTYPE,HIGH,Located in archive/ prototype directory with 1s coarse simulation logs.,archive/20260306_motivation_test/generate_midterm_plots.py,archive_to_synthetic_prototypes
archive/20260306_motivation_test/summary_table.csv,summary_table.csv,SYNTHETIC_PROTOTYPE,HIGH,Located in archive/ prototype directory with 1s coarse simulation logs.,archive/20260306_motivation_test/generate_midterm_plots.py,archive_to_synthetic_prototypes
data/active_backends.json,active_backends.json,LEGACY_DEMO,HIGH,Short local test file for script validation.,scripts/campaign_a_orchestrator.py,archive_to_legacy_scripts
data/results/ResNet50_CIFAR10_round_robin/benchmark_resnet_rr.json,benchmark_resnet_rr.json,SYNTHETIC_PROTOTYPE,HIGH,"Contains SIMULATED_DATA tags, generic vmXX node names, or fixed synthetic timestamp baseline (1715000000).",scripts/campaign_a_orchestrator.py,archive_to_synthetic_prototypes
data/results/ResNet50_CIFAR10_round_robin/campaign_cv_resnet_rr_c16.csv,campaign_cv_resnet_rr_c16.csv,SYNTHETIC_PROTOTYPE,HIGH,"Contains SIMULATED_DATA tags, generic vmXX node names, or fixed synthetic timestamp baseline (1715000000).",scripts/campaign_a_orchestrator.py,archive_to_synthetic_prototypes
